policy,policy_valid,fault,severity_level,severity_value,n,detection_rate,det_ci_lo,det_ci_hi,alarm_rate_faulted,clean_far,median_latency_ticks,threshold_margin,frozen_quantile,D_L1,D_L2a,D_L2b,D_L3,D_L6,D_L7,D_L8
P1,True,position_bias,low,0.25,30,1.0000,1.0000,1.0000,0.0598,0.0547,22,-0.0254,3.7095,0.7740,0.6727,0.7051,0.6722,0.5768,0.5225,0.5000
P1,True,position_bias,medium,1.0,30,1.0000,1.0000,1.0000,0.8567,0.0547,17,0.6669,3.7095,0.9784,0.7964,0.9228,0.7959,0.8998,0.9125,0.9675
P1,True,position_bias,high,2.0,30,1.0000,1.0000,1.0000,0.7730,0.0547,40,0.6450,3.7095,0.8525,0.8090,1.0000,0.8086,0.7812,0.9950,0.9775
P1,True,position_drift,low,0.5,30,1.0000,1.0000,1.0000,0.0325,0.0547,88,-0.0252,3.7095,0.7834,0.6355,0.6603,0.6354,0.5745,0.5212,0.5000
P1,True,position_drift,medium,2.0,30,1.0000,1.0000,1.0000,0.4463,0.0547,46,0.2938,3.7095,0.9330,0.7668,0.8636,0.7666,0.6387,0.6225,0.7863
P1,True,position_drift,high,4.0,30,1.0000,1.0000,1.0000,0.6348,0.0547,42,0.4822,3.7095,0.9492,0.8252,0.9295,0.8247,0.7449,0.7137,0.8775
P1,True,speed_bias,low,0.75,30,0.4667,0.0000,1.0000,0.0063,0.0547,79,-0.0234,3.7095,1.0000,0.5055,0.5394,0.5057,0.5663,0.5000,0.5000
P1,True,speed_bias,medium,3.0,30,0.5667,0.0000,1.0000,0.0047,0.0547,43,-0.0249,3.7095,1.0000,0.5157,0.6830,0.5110,0.6287,0.5000,0.5000
P1,True,speed_bias,high,6.0,30,0.9333,1.0000,1.0000,0.0368,0.0547,1,-0.0206,3.7095,1.0000,0.5558,0.7917,0.5551,0.6304,0.5000,0.5000
P1,True,lateral_noise,low,5.0,30,0.9000,1.0000,1.0000,0.0323,0.0547,96,-0.0304,3.7095,0.8831,0.8535,0.9386,0.8536,0.6827,0.5150,0.5000
P1,True,lateral_noise,medium,25.0,30,1.0000,1.0000,1.0000,0.3747,0.0547,7,0.0814,3.7095,0.9994,0.9793,0.9350,0.9787,0.6550,0.7963,0.8662
P1,True,lateral_noise,high,50.0,30,1.0000,1.0000,1.0000,0.5025,0.0547,2,0.1642,3.7095,1.0000,0.9922,0.9113,0.9576,0.5975,0.9125,0.9425
P1,True,speed_stuck,medium,,30,0.6667,0.0000,1.0000,0.0130,0.0547,66,-0.0210,3.7095,0.9625,0.5629,0.5300,0.5613,0.5133,0.5000,0.5000
P1,True,imu_dropout,medium,,30,0.0333,0.0000,0.0000,0.0010,0.0547,4,-0.0305,3.7095,0.9975,0.8600,0.7582,0.8599,0.7369,0.5312,0.9875
P3,True,position_bias,low,0.25,30,1.0000,1.0000,1.0000,0.1145,0.0823,5,-0.0113,3.4,0.7828,0.6592,0.7044,0.6588,0.7163,0.5000,0.5000
P3,True,position_bias,medium,1.0,30,1.0000,1.0000,1.0000,0.9278,0.0823,0,0.8219,3.4,0.9777,0.7966,0.7542,0.7966,0.9574,0.8725,0.9675
P3,True,position_bias,high,2.0,30,1.0000,1.0000,1.0000,0.8788,0.0823,0,0.6518,3.4,0.9402,0.8079,1.0000,0.8080,0.8932,0.9675,0.9775
P3,True,position_drift,low,0.5,30,1.0000,1.0000,1.0000,0.0795,0.0823,64,-0.0126,3.4,0.7858,0.6240,0.6536,0.6244,0.6306,0.5025,0.5000
P3,True,position_drift,medium,2.0,30,1.0000,1.0000,1.0000,0.5573,0.0823,30,0.3532,3.4,0.9251,0.7411,0.8714,0.7415,0.8007,0.6687,0.7863
P3,True,position_drift,high,4.0,30,1.0000,1.0000,1.0000,0.7255,0.0823,16,0.5586,3.4,0.9433,0.7779,0.9296,0.7768,0.8464,0.6950,0.8775
P3,True,speed_bias,low,0.75,30,0.9333,1.0000,1.0000,0.0090,0.0823,0,-0.0186,3.4,1.0000,0.5050,0.5510,0.5049,0.8640,0.5000,0.5000
P3,True,speed_bias,medium,3.0,30,0.6667,0.0000,1.0000,0.0048,0.0823,1,-0.0240,3.4,1.0000,0.5132,0.6209,0.5083,0.9629,0.5000,0.5000
P3,True,speed_bias,high,6.0,30,0.8000,0.5000,0.5000,0.0172,0.0823,1,-0.0209,3.4,1.0000,0.5639,0.8169,0.5635,0.8694,0.5000,0.5000
P3,True,lateral_noise,low,5.0,30,1.0000,1.0000,1.0000,0.3658,0.0823,2,-0.0029,3.4,0.9632,0.8349,0.8870,0.8347,0.9195,0.5012,0.5000
P3,True,lateral_noise,medium,25.0,30,1.0000,1.0000,1.0000,0.9017,0.0823,1,0.1898,3.4,1.0000,0.9799,0.9008,0.9801,0.9884,0.7650,0.8450
P3,True,lateral_noise,high,50.0,30,1.0000,1.0000,1.0000,0.9188,0.0823,0,0.4727,3.4,1.0000,0.9920,0.9504,0.9581,0.9766,0.9125,0.9512
P3,True,speed_stuck,medium,,30,0.7667,0.0000,0.0000,0.0230,0.0823,59,-0.0147,3.4,0.9875,0.5586,0.5087,0.5576,0.6304,0.5000,0.5000
