policy,fault,severity,D_L1,D_L6,detection_rate,agreement
P1,position_bias,low,0.774,0.57676875,1.0,DISAGREE
P1,position_bias,medium,0.9783625,0.8998125,1.0,DISAGREE
P1,position_bias,high,0.8525,0.7811625,1.0,DISAGREE
P1,position_drift,low,0.7833875,0.57445625,1.0,DISAGREE
P1,position_drift,medium,0.9329562499999999,0.6387437499999999,1.0,DISAGREE
P1,position_drift,high,0.9491937500000001,0.7449375,1.0,DISAGREE
P1,speed_bias,low,1.0,0.5662625,0.4666666666666667,agree
P1,speed_bias,medium,1.0,0.6286625,0.5666666666666667,agree
P1,speed_bias,high,1.0,0.6304125,0.9333333333333333,DISAGREE
P1,lateral_noise,low,0.8831,0.682725,0.9,DISAGREE
P1,lateral_noise,medium,0.999425,0.655025,1.0,DISAGREE
P1,lateral_noise,high,1.0,0.5974875,1.0,DISAGREE
P1,speed_stuck,medium,0.9625,0.5132749999999999,0.6666666666666666,agree
P1,imu_dropout,medium,0.9975,0.7369375,0.03333333333333333,agree
P3,position_bias,low,0.7827875,0.71633125,1.0,DISAGREE
P3,position_bias,medium,0.9777,0.9574499999999999,1.0,agree
P3,position_bias,high,0.9402125,0.8931625,1.0,DISAGREE
P3,position_drift,low,0.7858,0.6306375,1.0,DISAGREE
P3,position_drift,medium,0.92509375,0.8006625,1.0,DISAGREE
P3,position_drift,high,0.9433374999999999,0.84640625,1.0,DISAGREE
P3,speed_bias,low,1.0,0.864025,0.9333333333333333,DISAGREE
P3,speed_bias,medium,1.0,0.96295,0.6666666666666666,DISAGREE
P3,speed_bias,high,1.0,0.86945,0.8,agree
P3,lateral_noise,low,0.9631624999999999,0.9195,1.0,agree
P3,lateral_noise,medium,1.0,0.9883625,1.0,agree
P3,lateral_noise,high,1.0,0.976575,1.0,agree
P3,speed_stuck,medium,0.9875,0.630425,0.7666666666666667,agree
P3,imu_dropout,medium,0.9975,0.7092,0.7666666666666667,agree
