experiment_id,git_commit,config_hash,calibration_version,policy,seed,condition,calibration_window,calibration_n,threshold,evaluation_n,alarm_count,run_far,in_band,cal_mean,cal_sd,eval_mean,eval_sd,drift,threshold_margin,raw_artifact,result_artifact,raw_sha256
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261001,clean,ticks 1-200,200,3.726448,200,0,0.000000,False,3.685298,0.021399,3.684483,0.008077,-0.000815,-0.041965,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261002,clean,ticks 1-200,200,3.768435,200,0,0.000000,False,3.693834,0.041217,3.693446,0.008347,-0.000388,-0.074989,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261003,clean,ticks 1-200,200,3.703759,200,2,0.010000,False,3.684486,0.016431,3.685010,0.007983,0.000524,-0.018749,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261004,clean,ticks 1-200,200,3.771124,200,0,0.000000,False,3.684191,0.043655,3.688483,0.008782,0.004292,-0.082641,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261005,clean,ticks 1-200,200,3.729140,200,0,0.000000,False,3.685744,0.021326,3.687387,0.008092,0.001642,-0.041754,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261006,clean,ticks 1-200,200,3.718688,200,0,0.000000,False,3.683600,0.025360,3.688101,0.008078,0.004501,-0.030587,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261007,clean,ticks 1-200,200,3.763513,200,0,0.000000,False,3.683999,0.037045,3.684436,0.007493,0.000437,-0.079077,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261008,clean,ticks 1-200,200,3.739172,200,0,0.000000,False,3.681806,0.037538,3.684147,0.009482,0.002341,-0.055025,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261009,clean,ticks 1-200,200,3.700001,200,13,0.065000,True,3.684116,0.015561,3.686865,0.008504,0.002749,-0.013137,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261010,clean,ticks 1-200,200,3.723941,200,0,0.000000,False,3.692463,0.023783,3.692687,0.008669,0.000224,-0.031254,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261011,clean,ticks 1-200,200,3.712293,200,3,0.015000,False,3.693403,0.016292,3.693087,0.009479,-0.000316,-0.019206,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261012,clean,ticks 1-200,200,3.703313,200,2,0.010000,False,3.683337,0.019048,3.686374,0.007684,0.003037,-0.016939,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261013,clean,ticks 1-200,200,3.704546,200,7,0.035000,True,3.686713,0.018598,3.688689,0.009834,0.001977,-0.015857,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261014,clean,ticks 1-200,200,3.718594,200,0,0.000000,False,3.684885,0.022122,3.685956,0.010035,0.001071,-0.032639,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261015,clean,ticks 1-200,200,3.720204,200,0,0.000000,False,3.683455,0.023613,3.685961,0.008056,0.002507,-0.034242,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261016,clean,ticks 1-200,200,3.701228,200,13,0.065000,True,3.682114,0.018165,3.686178,0.010153,0.004063,-0.015050,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261017,clean,ticks 1-200,200,3.721992,200,0,0.000000,False,3.680933,0.027973,3.685856,0.008528,0.004923,-0.036136,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261018,clean,ticks 1-200,200,3.728030,200,0,0.000000,False,3.685585,0.026066,3.687511,0.010428,0.001926,-0.040519,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261019,clean,ticks 1-200,200,3.785291,200,0,0.000000,False,3.684534,0.042305,3.686079,0.007603,0.001545,-0.099212,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261020,clean,ticks 1-200,200,3.718894,200,0,0.000000,False,3.688269,0.026028,3.688711,0.010002,0.000442,-0.030183,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261021,clean,ticks 1-200,200,3.727057,200,0,0.000000,False,3.694022,0.022150,3.694218,0.009182,0.000196,-0.032839,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261022,clean,ticks 1-200,200,3.759757,200,0,0.000000,False,3.696589,0.042237,3.695473,0.011357,-0.001116,-0.064284,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261023,clean,ticks 1-200,200,3.705200,200,3,0.015000,False,3.681528,0.020688,3.685419,0.009740,0.003891,-0.019780,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
E18-R1,6383676a3491dc82d70f2db20cdafb942e5c588a,2e45b38009592e50,R1-v2-runlocal,P1,20261024,clean,ticks 1-200,200,3.713305,200,0,0.000000,False,3.684212,0.022231,3.686557,0.008726,0.002346,-0.026748,raw_results/clean_runlocal.json,processed_results/comparison.json,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932
