experiment_id,git_commit,config_hash,calibration_version,policy,seed,condition,calibration_window,threshold,evaluation_n,alarm_count,run_far,in_band,eval_mean,eval_sd,threshold_margin
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261001,clean,ticks 201-400 pooled,3.702369982656383,200,1,0.005,False,3.6844827430269276,0.00807702930118405,-0.017887239629455376
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261002,clean,ticks 201-400 pooled,3.702369982656383,200,37,0.185,False,3.6934459490983222,0.008347326468275178,-0.008924033558060707
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261003,clean,ticks 201-400 pooled,3.702369982656383,200,3,0.015,False,3.685010241296802,0.007983146082309253,-0.017359741359580738
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261004,clean,ticks 201-400 pooled,3.702369982656383,200,10,0.05,True,3.6884831635889754,0.008782358007870526,-0.013886819067407519
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261005,clean,ticks 201-400 pooled,3.702369982656383,200,7,0.035,True,3.687386661620136,0.008092135688259321,-0.014983321036246888
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261006,clean,ticks 201-400 pooled,3.702369982656383,200,5,0.025,True,3.6881012907915274,0.008077855486671653,-0.014268691864855576
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261007,clean,ticks 201-400 pooled,3.702369982656383,200,0,0.0,False,3.6844360567274372,0.007492679270885815,-0.017933925928945715
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261008,clean,ticks 201-400 pooled,3.702369982656383,200,7,0.035,True,3.684147035831144,0.009482249822594905,-0.01822294682523884
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261009,clean,ticks 201-400 pooled,3.702369982656383,200,5,0.025,True,3.686864901246248,0.0085042873062049,-0.015505081410134736
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261010,clean,ticks 201-400 pooled,3.702369982656383,200,23,0.115,False,3.6926872826086914,0.008668611102414762,-0.009682700047691561
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261011,clean,ticks 201-400 pooled,3.702369982656383,200,33,0.165,False,3.6930866978387487,0.009479452792131844,-0.009283284817634296
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261012,clean,ticks 201-400 pooled,3.702369982656383,200,2,0.01,False,3.6863741251655084,0.007683681067027102,-0.01599585749087451
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261013,clean,ticks 201-400 pooled,3.702369982656383,200,10,0.05,True,3.6886893142632187,0.009833958919230314,-0.013680668393164286
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261014,clean,ticks 201-400 pooled,3.702369982656383,200,3,0.015,False,3.6859556437043772,0.010035306652065082,-0.016414338952005725
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261015,clean,ticks 201-400 pooled,3.702369982656383,200,3,0.015,False,3.685961400901858,0.00805579364598038,-0.016408581754524754
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261016,clean,ticks 201-400 pooled,3.702369982656383,200,5,0.025,True,3.68617788435962,0.01015264934536384,-0.016192098296762936
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261017,clean,ticks 201-400 pooled,3.702369982656383,200,2,0.01,False,3.685855936819368,0.00852831009073899,-0.01651404583701499
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261018,clean,ticks 201-400 pooled,3.702369982656383,200,11,0.055,True,3.687510789600127,0.01042816802362808,-0.014859193056255826
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261019,clean,ticks 201-400 pooled,3.702369982656383,200,0,0.0,False,3.686078847846298,0.0076025343126956595,-0.01629113481008515
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261020,clean,ticks 201-400 pooled,3.702369982656383,200,10,0.05,True,3.688711236061173,0.010001542602656245,-0.013658746595210047
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261021,clean,ticks 201-400 pooled,3.702369982656383,200,35,0.175,False,3.694218307666449,0.009181910435688983,-0.008151674989933966
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261022,clean,ticks 201-400 pooled,3.702369982656383,200,55,0.275,False,3.695472722061154,0.011356801540359108,-0.006897260595228882
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261023,clean,ticks 201-400 pooled,3.702369982656383,200,8,0.04,True,3.6854193771429737,0.009740109003963084,-0.01695060551340921
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261024,clean,ticks 201-400 pooled,3.702369982656383,200,8,0.04,True,3.6865574939818226,0.008725548894714054,-0.01581248867456031
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261025,clean,ticks 201-400 pooled,3.702369982656383,200,15,0.075,True,3.690932555004194,0.00988059267270914,-0.011437427652189136
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261026,clean,ticks 201-400 pooled,3.702369982656383,200,5,0.025,True,3.684921932224039,0.010360363242917184,-0.017448050432343987
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P1,20261027,clean,ticks 201-400 pooled,3.702369982656383,200,3,0.015,False,3.6838869556214218,0.008750419455079728,-0.018483027034961186
