policy,window,runs_in_band,n_runs,median_far,sd_far,overdispersion,n_eff,threshold
P1,200,12,30,0.030000,0.069564,4.2145,11.26,3.7024
P1,400,16,30,0.038750,0.048344,4.2563,22.08,3.7024
P1,800,21,30,0.046875,0.032757,4.0254,49.37,3.7024
P1,1600,29,30,0.050000,0.018636,3.1972,156.53,3.7024
P1,3200,30,30,0.058438,0.008638,2.0698,746.98,3.7024
P3,200,2,30,0.010000,0.189158,9.2405,2.34,3.3953
P3,400,4,30,0.013750,0.114750,9.8317,4.14,3.3953
P3,800,6,30,0.010000,0.060635,9.3481,9.15,3.3953
P3,1600,6,30,0.011250,0.030516,8.1249,24.24,3.3953
P3,3200,5,30,0.011562,0.015216,6.6526,72.30,3.3953
