policy,fault,severity,stage,n,mean,median,sd,ci_lo,ci_hi,min,max,validity
P1,imu_dropout,suppress IMU,L1,30,0.997500,0.997500,0.000000,0.997500,0.997500,0.997500,0.997500,VALID
P1,imu_dropout,suppress IMU,L2a,30,0.803736,0.860000,0.138368,0.723375,0.889912,0.502525,0.999750,VALID
P1,imu_dropout,suppress IMU,L2b,30,0.792771,0.758175,0.152074,0.712625,0.908375,0.518400,0.993150,VALID
P1,imu_dropout,suppress IMU,L3,30,0.803556,0.859919,0.138730,0.723712,0.889663,0.502212,0.999750,VALID
P1,imu_dropout,suppress IMU,L6,30,0.729727,0.736938,0.117037,0.675225,0.776650,0.520325,0.988300,VALID
P1,imu_dropout,suppress IMU,L7,30,0.578083,0.531250,0.128527,0.505000,0.550000,0.500000,0.967500,VALID
P1,imu_dropout,suppress IMU,L8,30,0.987500,0.987500,0.000000,0.987500,0.987500,0.987500,0.987500,VALID
P1,position_bias,1.0 m,L1,30,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,INVALID
P1,position_bias,1.0 m,L2a,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_bias,1.0 m,L2b,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_bias,1.0 m,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_bias,1.0 m,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_bias,1.0 m,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_bias,1.0 m,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L1,30,0.969677,0.970025,0.008172,0.966862,0.972338,0.947662,0.984938,INVALID
P1,position_drift,2.0 m final,L2a,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L2b,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,position_drift,2.0 m final,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P1,speed_stuck,hold,L1,30,0.934333,0.962500,0.086388,0.920000,0.982500,0.612500,0.997500,VALID
