seed,policy,fault,severity,A_f,unique_absorption,threshold_crossings,veto_rate,mean_speed,failure_status,validity
20260731,P1,imu_dropout,suppress IMU,L7,False,2,0.012500,5.9494,ok,VALID
20260731,P1,position_bias,1.0 m,L2a,True,1,0.007500,10.5769,ok,INVALID
20260731,P1,position_drift,2.0 m final,L2a,True,1,0.007500,10.5769,ok,INVALID
20260731,P1,speed_stuck,hold,L2a,True,1,0.007500,10.6195,ok,VALID
20260731,P1,speed_bias,3.0 m/s,L2a,False,5,0.007500,10.2287,ok,VALID
20260731,P1,lateral_noise,sigma x25,,False,0,0.340000,7.9291,ok,VALID
20260732,P1,imu_dropout,suppress IMU,L7,False,2,0.022500,6.1868,ok,VALID
20260732,P1,position_bias,1.0 m,L2a,True,1,0.020000,10.9064,ok,INVALID
20260732,P1,position_drift,2.0 m final,L2a,True,1,0.020000,10.9064,ok,INVALID
20260732,P1,speed_stuck,hold,L2a,True,1,0.020000,10.9351,ok,VALID
20260732,P1,speed_bias,3.0 m/s,L2a,False,5,0.020000,10.5538,ok,VALID
20260732,P1,lateral_noise,sigma x25,,False,0,0.370000,8.9934,ok,VALID
20260733,P1,imu_dropout,suppress IMU,L7,False,2,0.015000,8.0528,ok,VALID
20260733,P1,position_bias,1.0 m,L2a,True,1,0.017500,13.4949,ok,INVALID
20260733,P1,position_drift,2.0 m final,L2a,True,1,0.017500,13.4949,ok,INVALID
20260733,P1,speed_stuck,hold,L2a,True,1,0.017500,13.4862,ok,VALID
20260733,P1,speed_bias,3.0 m/s,L2a,False,3,0.017500,13.1187,ok,VALID
20260733,P1,lateral_noise,sigma x25,L6,False,2,0.235000,11.1946,ok,VALID
20260734,P1,imu_dropout,suppress IMU,L7,False,2,0.157500,7.6895,ok,VALID
20260734,P1,position_bias,1.0 m,L2a,True,1,0.062500,12.9966,ok,INVALID
20260734,P1,position_drift,2.0 m final,L2a,True,1,0.062500,12.9966,ok,INVALID
20260734,P1,speed_stuck,hold,L2a,True,1,0.062500,12.9923,ok,VALID
20260734,P1,speed_bias,3.0 m/s,L2a,False,3,0.060000,12.6228,ok,VALID
20260734,P1,lateral_noise,sigma x25,L6,False,2,0.510000,9.5953,ok,VALID
20260735,P1,imu_dropout,suppress IMU,L2a,False,4,0.005000,7.1393,ok,VALID
20260735,P1,position_bias,1.0 m,L2a,True,1,0.007500,12.2088,ok,INVALID
20260735,P1,position_drift,2.0 m final,L2a,True,1,0.007500,12.2088,ok,INVALID
20260735,P1,speed_stuck,hold,L2a,True,1,0.007500,12.2161,ok,VALID
20260735,P1,speed_bias,3.0 m/s,L2a,False,3,0.005000,11.8467,ok,VALID
20260735,P1,lateral_noise,sigma x25,,False,0,0.315000,8.9180,ok,VALID
20260736,P1,imu_dropout,suppress IMU,L7,False,2,0.102500,6.6702,ok,VALID
20260736,P1,position_bias,1.0 m,L2a,True,1,0.017500,11.5871,ok,INVALID
20260736,P1,position_drift,2.0 m final,L2a,True,1,0.017500,11.5871,ok,INVALID
20260736,P1,speed_stuck,hold,L2a,True,1,0.017500,11.6127,ok,VALID
20260736,P1,speed_bias,3.0 m/s,L2a,False,5,0.017500,11.2277,ok,VALID
20260736,P1,lateral_noise,sigma x25,,False,0,0.300000,8.5608,ok,VALID
20260737,P1,imu_dropout,suppress IMU,L6,False,2,0.017500,6.6799,ok,VALID
20260737,P1,position_bias,1.0 m,L2a,True,1,0.025000,11.5802,ok,INVALID
20260737,P1,position_drift,2.0 m final,L2a,True,1,0.025000,11.5802,ok,INVALID
20260737,P1,speed_stuck,hold,L2a,True,1,0.025000,11.5952,ok,VALID
20260737,P1,speed_bias,3.0 m/s,L2a,False,5,0.025000,11.2222,ok,VALID
20260737,P1,lateral_noise,sigma x25,,False,0,0.452500,8.0706,ok,VALID
20260738,P1,imu_dropout,suppress IMU,L7,False,2,0.100000,6.4505,ok,VALID
20260738,P1,position_bias,1.0 m,L2a,True,1,0.015000,11.3078,ok,INVALID
20260738,P1,position_drift,2.0 m final,L2a,True,1,0.015000,11.3078,ok,INVALID
20260738,P1,speed_stuck,hold,L2a,True,1,0.015000,11.3338,ok,VALID
20260738,P1,speed_bias,3.0 m/s,L2a,False,5,0.017500,10.9503,ok,VALID
20260738,P1,lateral_noise,sigma x25,L6,False,2,0.490000,7.9654,ok,VALID
20260739,P1,imu_dropout,suppress IMU,L7,False,2,0.037500,8.1460,ok,VALID
20260739,P1,position_bias,1.0 m,L2a,True,1,0.002500,13.6480,ok,INVALID
20260739,P1,position_drift,2.0 m final,L2a,True,1,0.002500,13.6480,ok,INVALID
20260739,P1,speed_stuck,hold,L2a,True,1,0.002500,13.6266,ok,VALID
20260739,P1,speed_bias,3.0 m/s,L2a,False,3,0.005000,13.2714,ok,VALID
20260739,P1,lateral_noise,sigma x25,L8,True,1,0.175000,12.1468,ok,VALID
20260740,P1,imu_dropout,suppress IMU,L7,False,2,0.010000,6.3479,ok,VALID
20260740,P1,position_bias,1.0 m,L2a,True,1,0.010000,11.1657,ok,INVALID
20260740,P1,position_drift,2.0 m final,L2a,True,1,0.010000,11.1657,ok,INVALID
20260740,P1,speed_stuck,hold,L2a,True,1,0.010000,11.1980,ok,VALID
20260740,P1,speed_bias,3.0 m/s,L2a,False,5,0.010000,10.8084,ok,VALID
20260740,P1,lateral_noise,sigma x25,,False,0,0.222500,9.5417,ok,VALID
20260741,P1,imu_dropout,suppress IMU,L7,False,2,0.005000,6.2623,ok,VALID
20260741,P1,position_bias,1.0 m,L2a,True,1,0.007500,11.0415,ok,INVALID
20260741,P1,position_drift,2.0 m final,L2a,True,1,0.007500,11.0415,ok,INVALID
20260741,P1,speed_stuck,hold,L2a,True,1,0.007500,11.0728,ok,VALID
20260741,P1,speed_bias,3.0 m/s,L2a,False,5,0.007500,10.6883,ok,VALID
20260741,P1,lateral_noise,sigma x25,L6,False,2,0.315000,8.8047,ok,VALID
20260742,P1,imu_dropout,suppress IMU,,False,0,0.450000,5.8628,ok,VALID
20260742,P1,position_bias,1.0 m,L2a,True,1,0.010000,10.4927,ok,INVALID
20260742,P1,position_drift,2.0 m final,L2a,True,1,0.010000,10.4927,ok,INVALID
20260742,P1,speed_stuck,hold,L2a,True,1,0.010000,10.5271,ok,VALID
20260742,P1,speed_bias,3.0 m/s,L2a,False,5,0.010000,10.1414,ok,VALID
20260742,P1,lateral_noise,sigma x25,,False,0,0.345000,7.8141,ok,VALID
