seed,policy,fault,severity,stage,metric,D_s,A_f,unique_absorption,veto_rate,mean_speed,validity,invalid_reason,git_commit
20260731,P1,imu_dropout,suppress IMU,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.997500,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.675350,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.930975,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.676100,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.680125,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.505000,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,imu_dropout,suppress IMU,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.987500,L7,False,0.012500,5.9494,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_bias,1.0 m,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.969688,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,position_drift,2.0 m final,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.5769,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.927500,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.564037,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.512163,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.561787,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.546338,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_stuck,hold,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.507825,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.692250,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.503588,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.694725,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.995050,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.981500,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.905713,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
